id,prompt_length,response_length,source,type,quality_score,destination
a3e79acb-143e-4e62-9df7-0527c37671c3,110,2875,curated,curated_planning,5,Vancouver
a21e7632-d935-42b0-ac74-52ca63b7d4f3,105,3204,curated,curated_planning,5,Medellín
281d9491-dab2-4386-8e90-a1fad6b4f6aa,124,2896,curated,curated_planning,5,Stockholm
57edbbe8-e46d-420e-adea-77a67849e5f9,121,2882,curated,curated_planning,5,San
155f5521-b1c3-404b-9137-0020b1259387,109,2618,curated,curated_planning,5,Santiago
9e8e9aec-3eac-43c7-84ad-c2770971b8be,110,3246,curated,curated_planning,5,Cusco
54169d09-cd6f-4957-bb9a-94d2ce8ef778,126,3179,curated,curated_planning,5,Santiago
f265e28c-1e97-470a-8a75-be73b9f75e83,114,3251,curated,curated_planning,5,Kyoto
b2382d1d-f5f8-4956-bc14-b583d13a6e3b,99,2736,curated,curated_planning,5,Budapest
6d08bed8-3f64-4926-a01a-dffa591ab8ad,107,3337,curated,curated_planning,5,Seville
ef49a1d6-09a7-46a9-a349-90dcf3e59a8d,112,3132,curated,curated_planning,5,Medellín
a80c633e-5226-4e6a-ba3f-70fa5cab81c5,114,2912,curated,curated_planning,5,Brasilia
b4562427-d0bf-4b7e-a3bd-53981e0dc29e,111,3566,curated,curated_planning,5,Kyoto
e76cd614-466b-4906-a482-bdee10f98f5a,112,3335,curated,curated_planning,5,Valencia
e58d4a9d-a934-4676-82e3-5190288c75d1,107,3490,curated,curated_planning,5,Pokhara
18693deb-1aba-4f7f-a460-7350546811e9,111,3387,curated,curated_planning,5,London
fe459a78-655d-4259-8ec5-c01f28380229,105,3238,curated,curated_planning,5,Riga
64d57eb1-2c86-4ba3-9952-04ab81f16ef9,119,3117,curated,curated_planning,5,Dubrovnik
561f233b-0ed7-42ec-b8c4-8fe6c7989312,112,3737,curated,curated_planning,5,Munich
707e0bc5-ba1a-4931-8074-a2f09b7c6c73,114,3535,curated,curated_planning,5,Naples
050b0b4e-ab73-4728-b7e0-c9163e90ed7a,109,3022,curated,curated_planning,5,Colombo
72e67783-2a2a-4ac4-973a-d93dc1734bc6,105,3169,curated,curated_planning,5,Nice
e9aaae15-8a92-4c88-992c-61e5961986f8,114,3541,curated,curated_planning,5,Tel
98ee306f-4f77-4831-aa6d-cda5fe4e3c34,125,3215,curated,curated_planning,5,Vilnius
d0308b3a-369d-46d1-88ad-b8decb8e083c,117,3099,curated,curated_planning,5,Cairo
f22fa865-962b-4dcc-abd2-6d77716d0028,114,2567,curated,curated_planning,5,Colombo
af080bf8-0268-4a49-83d7-cce19bcc0022,110,3115,curated,curated_planning,5,Almaty
a23edaa6-8f53-4110-b52d-d26cfee781b9,109,3197,curated,curated_planning,5,Shimla
bbf1951f-accc-45d8-8d03-ce46919178b9,107,3082,curated,curated_planning,5,Florence
e9246e31-75b9-4da4-bd42-9d99f2d1e540,129,3222,curated,curated_planning,5,Dubrovnik
8e251ce2-7530-4b9e-92ed-0455eaae215f,111,3093,curated,curated_planning,5,Nagoya
b56e1b7f-6490-4515-863a-5b7c1f173045,105,3502,curated,curated_planning,5,Havana
77bdb56a-7f55-4624-b696-035e9b247f37,119,3079,curated,curated_planning,5,Reykjavik
19030e7b-fb7b-4aac-8d21-ddbbf3001c3b,106,2904,curated,curated_planning,5,Beijing
8fb9b036-144a-46e9-8d43-884979dacb0f,99,2594,curated,curated_planning,5,Jaipur
dacaf4c2-8f21-45c7-86dc-54da77c1df38,117,3283,curated,curated_planning,5,Montreal
214f40e2-8a31-4156-aab3-bc29818a3d6b,109,3586,curated,curated_planning,5,Athens
6c136e61-2619-4ae6-94ae-6520f04aaca2,120,3192,curated,curated_planning,5,Vilnius
8a24df79-f866-4b1a-90aa-405febd0f678,118,3049,curated,curated_planning,5,Ho
9406cfdc-9052-475c-9abf-dccdbc4b4ae5,124,2932,curated,curated_planning,5,Ho
